osmid,y,x,highway,street_count,junction
251576069,43.4619254,-80.530886,,4,
251576070,43.4623523,-80.5298784,,3,
251576074,43.4614469,-80.5332494,,3,
251576075,43.4630619,-80.5318451,,1,
251817694,43.4394621,-80.5210849,traffic_signals,4,
252828856,43.4657588,-80.5180389,,3,
252828857,43.4668386,-80.5150727,traffic_signals,4,
252828858,43.467469,-80.5139594,,4,
252828860,43.4653408,-80.5211804,traffic_signals,4,
252828861,43.4654732,-80.5202573,,3,
252828863,43.4636239,-80.5219543,traffic_signals,4,
252828918,43.4625504,-80.5204238,,3,
252828919,43.4638063,-80.5207465,,3,
252828920,43.4701366,-80.5126429,traffic_signals,5,
252828921,43.4689373,-80.5155553,,4,
252828922,43.4686332,-80.5163377,,3,
252828923,43.468462,-80.5170328,,3,
253114349,43.471323,-80.5239511,,3,
253114350,43.4719662,-80.519287,,4,
253114351,43.4734555,-80.516037,,3,
253114353,43.4749788,-80.5172739,traffic_signals,4,
253114354,43.4714737,-80.5227067,,4,
253114355,43.472017,-80.5223548,,3,
253114356,43.4722686,-80.5222985,,3,
253114357,43.4730763,-80.5226271,stop,4,
253114363,43.4712752,-80.5185234,,3,
253114364,43.4730206,-80.5170258,,4,
253114365,43.4730917,-80.5199225,,4,
253114366,43.4738867,-80.5203475,,3,
253262184,43.4714629,-80.5291501,,3,
253262185,43.4731837,-80.5243347,,3,
253262186,43.4722559,-80.5269883,,3,
253262187,43.4714814,-80.526333,,3,
253262188,43.4720675,-80.5298355,,3,
253262190,43.4709244,-80.5318114,,3,
253262191,43.4728714,-80.5339647,,4,
253262192,43.473289,-80.5328139,,4,
253262193,43.4726656,-80.532119,,3,
255942725,43.4602793,-80.5191237,traffic_signals,5,
255942727,43.4676649,-80.5093661,,4,
255942728,43.4667958,-80.5115501,,4,
255942729,43.4609502,-80.5202749,,3,
255942730,43.4639977,-80.5169127,,3,
255942732,43.4631601,-80.515953,,4,
255942734,43.4583718,-80.5155204,traffic_signals,4,
255942735,43.4609954,-80.5183364,,3,
255942741,43.4579474,-80.510938,,3,
256993281,43.462706,-80.5183516,,4,
256993282,43.4620277,-80.517197,,4,
256993283,43.4611233,-80.5156566,,4,
256993284,43.4593216,-80.5176216,traffic_signals,4,
256993285,43.4600994,-80.5167676,,4,
256993286,43.4620162,-80.514685,,4,
256993287,43.4642647,-80.5122234,traffic_signals,3,
256993288,43.4654184,-80.5135062,stop,4,
256993289,43.4632447,-80.511085,traffic_signals,4,
256993290,43.460338,-80.5143252,,4,
256993293,43.4597372,-80.5171623,,4,
256993294,43.4606446,-80.518727,,3,
256993299,43.4618925,-80.5211486,,3,
256993300,43.4765821,-80.5237662,traffic_signals,4,
256993301,43.4741129,-80.5228513,,4,
256993302,43.4735987,-80.5244247,,3,
256993303,43.4758584,-80.5179753,,3,
256993304,43.4780106,-80.5197944,traffic_signals,4,
256993752,43.4686539,-80.5390435,,4,
256993756,43.4684674,-80.5314361,,3,
256993773,43.4719229,-80.5240717,,3,
256993822,43.466257,-80.5126087,,3,
256993922,43.4679922,-80.5128539,,3,
260316102,43.4585797,-80.5105628,,3,
260316103,43.4621144,-80.5132082,,3,
260316108,43.4731562,-80.4962491,,3,
260316116,43.4641506,-80.5414121,traffic_signals,4,
260316121,43.4682901,-80.5183285,crossing,4,
260316124,43.4703467,-80.5176982,,3,
267232978,43.4786421,-80.5352441,traffic_signals,5,
267571152,43.4711579,-80.5931382,traffic_signals,4,
267571154,43.4723791,-80.591041,,4,
267812666,43.4689016,-80.5399269,,3,
267812712,43.46647,-80.5413552,,3,
267812716,43.4674185,-80.5435068,,3,
267812728,43.4740273,-80.546008,,3,
268012598,43.4566237,-80.5419032,,4,
268012607,43.4726205,-80.5480823,,3,
279058158,43.4934013,-80.5564201,traffic_signals,3,
279058163,43.4945527,-80.5564609,stop,3,
279058176,43.4937604,-80.5643747,,3,
279058186,43.4878507,-80.5636899,,3,
279058191,43.4857917,-80.562349,,3,
279058204,43.487498,-80.5562958,,3,
279058206,43.4869871,-80.5553269,,3,
279058208,43.4854779,-80.5518578,,4,
279061794,43.4842451,-80.5507251,,5,
279061800,43.4866727,-80.5468749,,3,
279061806,43.4912501,-80.5449883,,3,
279061809,43.4921427,-80.544783,,3,
279061811,43.4935022,-80.544456,,3,
279061820,43.486084,-80.5511062,,3,
279061823,43.486978,-80.5503283,,3,
279061838,43.489809,-80.5443549,,3,
279061847,43.4911847,-80.5443587,,3,
279061854,43.4859326,-80.5487211,,3,
279068540,43.4295701,-80.5315104,,4,
279068674,43.4251928,-80.5441765,,4,
279068741,43.4317714,-80.5255172,,4,
279072249,43.4900015,-80.5462456,,3,
279072250,43.4904232,-80.5462792,,3,
279072252,43.4909869,-80.5464093,,3,
279072254,43.4917139,-80.5465771,,3,
279072257,43.4922446,-80.5463755,,3,
279072259,43.4927352,-80.5463815,,3,
279072265,43.4929762,-80.5482014,,3,
279072266,43.4929285,-80.5488816,,3,
279072268,43.4927962,-80.5500518,,4,
279072274,43.4915479,-80.5481255,,3,
279072275,43.491622,-80.5474993,,3,
279072276,43.4920924,-80.5475748,,3,
279072280,43.4921357,-80.5476721,,3,
279072282,43.4907708,-80.5471735,,3,
279072287,43.4897378,-80.5478785,,3,
279072288,43.4900279,-80.5480618,,4,
279072294,43.4922217,-80.5498695,,3,
279072298,43.4934105,-80.5503265,,4,
279072299,43.4923922,-80.5505071,,3,
279072300,43.492303,-80.5510026,,4,
279072302,43.4890755,-80.5492001,,3,
279072304,43.4884797,-80.5485872,,3,
279072314,43.4896162,-80.547164,,3,
279072315,43.4898953,-80.5472986,,3,
279072316,43.4885258,-80.5499343,,3,
279072323,43.488922,-80.5509113,,3,
279072324,43.4891444,-80.5514975,,3,
279072325,43.4894448,-80.5520338,,3,
279072326,43.4896775,-80.5522396,,4,
279072331,43.491269,-80.5527623,,3,
279072332,43.4913802,-80.5527611,,3,
279072333,43.491672,-80.5527988,,3,
279072338,43.489481,-80.5504375,,4,
279072339,43.4899779,-80.5495201,,3,
279072340,43.4900621,-80.5494838,,3,
279072341,43.4901726,-80.5496126,,3,
279072342,43.4903239,-80.5497913,,3,
279072343,43.4906855,-80.5502121,,3,
279072344,43.4910699,-80.5506197,,3,
279072345,43.4913691,-80.5508372,,3,
279072348,43.4912523,-80.551424,,3,
279072349,43.4912233,-80.5516899,,3,
279072350,43.4912312,-80.5519638,,3,
279072352,43.4900205,-80.551104,,3,
279072353,43.4903189,-80.5513482,,3,
279072361,43.4901366,-80.5537878,,3,
279221865,43.4898436,-80.5666042,traffic_signals,4,
279221867,43.4958423,-80.5494151,traffic_signals,4,
279221883,43.492918,-80.5445906,traffic_signals,4,
279221899,43.4943066,-80.5481031,,3,
279226477,43.4841059,-80.5601587,,3,
279226480,43.49303,-80.5514198,,3,
279226481,43.4927281,-80.5530671,,4,
279226482,43.4926064,-80.5538634,,3,
279226484,43.4920965,-80.5554877,,3,
279226492,43.4893303,-80.5574853,,3,
279226496,43.4878682,-80.5567081,,3,
279226498,43.4859292,-80.552667,,4,
279226508,43.4871211,-80.5556597,,4,
279226839,43.487247,-80.5621974,,3,
279226844,43.4870266,-80.5612629,,3,
279226845,43.4866029,-80.5598554,,3,
279226847,43.4859388,-80.5602363,,3,
279226851,43.4876042,-80.5624446,,3,
279226855,43.4894894,-80.5593893,,3,
279226858,43.4898899,-80.5601954,,3,
279226859,43.4899476,-80.5602856,,3,
279226861,43.4908856,-80.5609964,,3,
279226862,43.4916079,-80.5614787,,3,
279226866,43.4896556,-80.5604913,,3,
279226871,43.4887414,-80.5615048,,3,
279226877,43.4884535,-80.5628104,,3,
279226878,43.4885711,-80.5631854,,3,
279226881,43.4881684,-80.5609266,,3,
279226885,43.487762,-80.5597946,,3,
279226889,43.4878566,-80.5583851,,4,
279226891,43.4879446,-80.557717,,3,
279226893,43.4882021,-80.5569997,,4,
279226894,43.4883868,-80.5585045,,3,
279226898,43.488408,-80.5586297,,3,
279226899,43.4911042,-80.556946,,3,
279226900,43.4913322,-80.557384,,3,
279226901,43.4915437,-80.5575934,,3,
279226903,43.4920907,-80.5579579,,4,
279226905,43.4920582,-80.5582273,,3,
279226906,43.4917513,-80.559038,,3,
279226907,43.4916159,-80.5594364,,3,
279226908,43.4914275,-80.5600277,,3,
279226912,43.4905174,-80.5594902,,3,
279226913,43.4903702,-80.5592481,,3,
279226914,43.4902576,-80.5589697,,4,
279226917,43.4900682,-80.5574493,,3,
279226918,43.4910804,-80.5586058,,3,
279226919,43.4909741,-80.5586487,,3,
279226925,43.4910029,-80.5584559,,3,
279226934,43.489425,-80.5564287,,4,
279226980,43.4903304,-80.5562883,,3,
279226983,43.4906656,-80.557227,,4,
279227005,43.4866717,-80.554535,,3,
279227035,43.4847252,-80.5552453,,3,
279227036,43.484526,-80.5550294,,3,
279227037,43.4842355,-80.5547592,,3,
279227038,43.4839548,-80.5546472,,3,
279227043,43.4843435,-80.5558689,,3,
279227058,43.4851318,-80.5514387,,3,
279227067,43.4861901,-80.5533298,,4,
279227069,43.4850003,-80.5530671,,3,
279227133,43.4928233,-80.5524707,,3,
279227136,43.4936326,-80.5527667,,3,
279227137,43.4942017,-80.5531542,,3,
279227138,43.4945049,-80.5533629,,3,
279227139,43.4926519,-80.5535856,,3,
279227144,43.4935715,-80.5540915,,3,
279227147,43.4930321,-80.555509,,3,
279227148,43.492782,-80.5562279,,3,
279227152,43.4922385,-80.5568762,,3,
279227155,43.4916481,-80.5563072,,4,
279227156,43.493742,-80.5494208,,3,
279227158,43.4942219,-80.54974,,3,
279227161,43.4948219,-80.5499295,,3,
279227170,43.4938736,-80.5520937,,3,
279396675,43.4746293,-80.5464273,traffic_signals,4,
279396676,43.4758642,-80.552264,,3,
279396682,43.477475,-80.5480943,,3,
279396686,43.4772689,-80.5479476,,3,
279396722,43.4784322,-80.5542285,,3,
279397980,43.4759262,-80.552081,,4,
279397991,43.4766565,-80.5539608,,4,
279398001,43.4773154,-80.5555238,,3,
279398025,43.4785557,-80.5532853,,3,
279398031,43.4776939,-80.5530608,,3,
279398046,43.4786692,-80.5527752,,3,
279398049,43.4789658,-80.552278,,3,
279398051,43.4791219,-80.5517541,,3,
279398053,43.4792291,-80.5513759,,3,
279398055,43.4793689,-80.5511556,,3,
279398060,43.4797066,-80.5504231,,1,
279398080,43.4783145,-80.5522248,,3,
279398085,43.4784967,-80.5519847,,3,
279398096,43.4785524,-80.5522201,,3,
279398098,43.4786203,-80.5523051,,3,
279398108,43.4773554,-80.5551983,,1,
279398110,43.4792533,-80.5518291,,1,
280639870,43.4838665,-80.5641529,crossing,4,
280639905,43.4828646,-80.5548118,,3,
280639909,43.4828783,-80.5546696,,3,
280639983,43.4880681,-80.5670956,,3,
280639985,43.4878933,-80.5669952,,3,
280639988,43.4873365,-80.5663979,,3,
280639990,43.4873146,-80.5663267,,3,
280640006,43.4890658,-80.5641836,,3,
280640014,43.4889063,-80.5641084,,3,
280640020,43.4894288,-80.5655832,,3,
280640029,43.4877154,-80.5647104,,4,
280640036,43.4871145,-80.5646405,,3,
280640039,43.486914,-80.5644965,,3,
280640041,43.4867771,-80.56443,,3,
280640046,43.4864321,-80.5644041,,3,
280640055,43.4859953,-80.5649234,,3,
280640056,43.4856333,-80.5655066,,3,
280640065,43.4884439,-80.565941,,3,
280640076,43.488282,-80.5660152,,3,
280640082,43.4863708,-80.5641955,,3,
280640088,43.4860994,-80.5638504,,3,
280640097,43.4855635,-80.5635617,,3,
280640108,43.4865229,-80.5654824,,3,
280640109,43.4865654,-80.5655286,,3,
280640195,43.4872627,-80.5478645,,3,
280645603,43.4694651,-80.5118777,,3,
280645611,43.470841,-80.5069652,,4,
280645653,43.4595978,-80.4910308,,3,
280645659,43.4600785,-80.491574,,3,
280645710,43.4641979,-80.495369,,3,
280645738,43.4673342,-80.4997417,mini_roundabout,3,
280645744,43.4662233,-80.5028692,,4,
280645774,43.4888176,-80.5435295,turning_circle,3,
280645798,43.4863414,-80.5433262,,3,
280645803,43.4860603,-80.5434361,,3,
280645812,43.4872954,-80.5421846,,3,
280645837,43.4900728,-80.539149,,3,
280645849,43.489706,-80.5367089,,3,
280645855,43.4901421,-80.5357718,,3,
280645872,43.4904747,-80.5377077,,3,
280645874,43.4901481,-80.5380912,,4,
280645876,43.4897264,-80.5385181,,3,
280645880,43.4903877,-80.5395197,,3,
280645883,43.488267,-80.5414631,,3,
280645887,43.4899381,-80.5389701,,3,
280645902,43.4890979,-80.5405102,,3,
280645908,43.4886971,-80.5405157,,3,
280645913,43.488424,-80.5404081,,3,
280901690,43.4883255,-80.5275916,,4,
280901693,43.4857659,-80.5374489,,3,
280901715,43.4879429,-80.5321234,,3,
280901717,43.4819218,-80.5261293,traffic_signals,6,
280901728,43.4828243,-80.523865,traffic_signals,4,
281858663,43.4837727,-80.5501447,,3,
281858664,43.4829923,-80.54928,,3,
281858666,43.4836724,-80.5475919,,3,
281858667,43.4837467,-80.5474996,,3,
281858687,43.4818575,-80.5458551,,3,
281858689,43.4812519,-80.5453978,,3,
281859063,43.4707304,-80.5379614,crossing,4,
281859180,43.4678221,-80.5325878,,3,
281860324,43.4914157,-80.5276511,,3,
281860345,43.4891737,-80.5225559,,3,
281860356,43.4877053,-80.5205414,,4,
281860361,43.48703,-80.519751,,3,
281860368,43.4859331,-80.5190325,,3,
281860374,43.4856769,-80.5177637,,3,
281860383,43.4858456,-80.5138534,,3,
281860386,43.4849475,-80.5142338,,3,
281860388,43.4846112,-80.5138849,,4,
281860406,43.4809963,-80.5287272,,3,
281860407,43.4825603,-80.5297833,,3,
281860408,43.4821795,-80.5308461,,3,
281860412,43.4835507,-80.5331565,,3,
281861129,43.502235,-80.5565329,,4,
281861131,43.5020056,-80.5552437,stop,3,
281861134,43.5008435,-80.5546809,,3,
281861135,43.500052,-80.5544783,,3,
281861139,43.4983333,-80.5535878,,3,
281861141,43.4979376,-80.5531217,stop,4,
281861145,43.4962656,-80.5521167,,3,
281861147,43.4959656,-80.5522371,,3,
281861148,43.4956148,-80.552542,,3,
281861149,43.495468,-80.5527336,,3,
281861150,43.4951237,-80.5535,,3,
281861295,43.4958902,-80.5539992,,3,
281861297,43.4971417,-80.5550928,,3,
281861298,43.4958342,-80.55186,,3,
281861301,43.4957632,-80.5516146,,3,
281861305,43.4982532,-80.5526146,,3,
281861306,43.4987018,-80.55134,,4,
281861307,43.498853,-80.5525786,,3,
281861333,43.499156,-80.5554611,turning_circle,3,
282723550,43.455848,-80.5523939,,3,
282723551,43.4551578,-80.5519089,,4,
282723555,43.456239,-80.551244,,3,
282723577,43.4547327,-80.5530608,,3,
282723579,43.4532065,-80.5514016,,3,
282723581,43.4548447,-80.5501949,,3,
282723631,43.4573627,-80.5471219,,3,
282723632,43.4588056,-80.5487349,,4,
282723634,43.4554213,-80.5450304,traffic_signals,3,
282723635,43.4580222,-80.5478742,,3,
282723671,43.4617482,-80.5445065,,3,
282723672,43.4622322,-80.5437046,,3,
282741811,43.4540263,-80.5490066,,4,
282813661,43.4614005,-80.5450845,,4,
282813667,43.4630757,-80.5465069,,3,
282813669,43.4641329,-80.5463951,,3,
282813671,43.4642854,-80.546017,,3,
282813677,43.4649665,-80.5452958,,3,
282813678,43.4653846,-80.5458948,,3,
282813679,43.4657339,-80.545382,,4,
283058675,43.4314735,-80.5256369,,4,
283058696,43.4323523,-80.5257878,,3,
283058710,43.4363867,-80.5226508,,3,
283058715,43.4364458,-80.5214797,,3,
283058842,43.4367805,-80.5183365,,3,
283059272,43.4380316,-80.5144725,,3,
283061274,43.442982,-80.5039746,crossing,3,
283061287,43.4440082,-80.5034928,,3,
283263303,43.4757909,-80.5550789,,3,
283263331,43.4597655,-80.5594616,,1,
283263332,43.4558839,-80.5687239,,3,
283263375,43.4501991,-80.572564,,3,
283263376,43.4481427,-80.5658985,traffic_signals,3,
283267192,43.4507592,-80.5584043,traffic_signals,4,
283267193,43.4515174,-80.5589072,,4,
283267196,43.4517912,-80.5592766,,3,
283267199,43.4518329,-80.5599523,,3,
283267206,43.4509254,-80.5617959,,3,
283267209,43.4505371,-80.562119,,3,
283267212,43.4502823,-80.5627051,,4,
283267229,43.4517493,-80.5585332,,3,
283267234,43.4522954,-80.5569009,,3,
283267240,43.4516088,-80.5559686,,3,
283267440,43.457108,-80.5532827,,3,
283267449,43.4554142,-80.555791,,3,
283360979,43.4509306,-80.5638917,,3,
283360983,43.4502281,-80.5657637,stop,3,
283360986,43.4496544,-80.5651081,,3,
283360993,43.4521503,-80.5670663,,4,
283360995,43.4510733,-80.5659751,,4,
283360997,43.4524221,-80.5662601,,3,
283361012,43.4529569,-80.5645266,,3,
283361014,43.4547754,-80.5697899,,4,
283361015,43.4566331,-80.5710361,,3,
283361016,43.4528301,-80.5677372,stop,4,
283361028,43.4556381,-80.5695548,,3,
283361048,43.4559811,-80.5728576,,3,
283361050,43.453406,-80.5718512,,3,
283361058,43.4563082,-80.5719537,,4,
283361066,43.4551299,-80.5722774,,1,
283361075,43.4519771,-80.5701091,,3,
283361089,43.4493286,-80.5696777,,3,
283361098,43.4508396,-80.5713205,,3,
283361099,43.4510673,-80.5720822,,4,
283361100,43.4506606,-80.5686637,,3,
283361103,43.4498324,-80.5718031,,3,
283361112,43.4513849,-80.5694589,,4,
283361117,43.454763,-80.5721335,,3,
283361132,43.4556121,-80.5740295,traffic_signals,4,
283459354,43.4440828,-80.5034217,,3,
283677465,43.4957873,-80.5660555,,3,
283678984,43.4548287,-80.4937383,traffic_signals,4,
283678986,43.4569697,-80.4952938,traffic_signals,4,
283678987,43.4577674,-80.4957843,,4,
283678999,43.46858,-80.5109041,traffic_signals,4,
285734320,43.4574998,-80.519518,,3,
286306353,43.4688646,-80.549481,,4,
286306354,43.4685017,-80.5488233,,4,
286307130,43.5152348,-80.5574913,traffic_signals,3,
286308073,43.4440394,-80.5678036,,3,
286308078,43.4371514,-80.5602172,,3,
286308501,43.4856061,-80.625123,,3,
286309568,43.4856015,-80.5468011,traffic_signals,5,
286309575,43.485002,-80.5415408,,3,
286309578,43.4852818,-80.5404216,traffic_signals,4,
286310749,43.4749615,-80.489795,,4,
286310790,43.4766697,-80.482112,,3,
286310910,43.4829004,-80.4849497,,3,
286311090,43.4383955,-80.5239073,traffic_signals,3,
286311093,43.4365239,-80.5289871,traffic_signals,4,
286892829,43.4465338,-80.5711657,,3,
286892898,43.4287244,-80.552857,,4,
286892903,43.422871,-80.5525844,,3,
286892905,43.4289697,-80.5529042,,3,
286892906,43.423939,-80.552628,,3,
286892907,43.4231671,-80.5525626,,3,
286892923,43.4461531,-80.5713256,,3,
286892925,43.4461933,-80.5709412,,3,
286892927,43.4286976,-80.5532027,,3,
286892929,43.4289278,-80.5532457,,3,
286892930,43.4228866,-80.5528914,,3,
286892932,43.423157,-80.5529006,,3,
286892939,43.4369767,-80.559775,,3,
286892940,43.4368815,-80.5601772,,3,
286892946,43.446391,-80.5714451,,3,
287186877,43.4873845,-80.5463033,,3,
287186880,43.4880001,-80.5458611,,3,
287186896,43.4887434,-80.5434166,,3,
287186898,43.4884457,-80.5431969,,3,
287354790,43.4494749,-80.4911296,traffic_signals,4,
287354791,43.4485263,-80.4919758,,3,
287354792,43.4487046,-80.4922745,,4,
287354793,43.4469122,-80.4942416,stop,4,
287354799,43.4471068,-80.5002476,,3,
287354800,43.4483803,-80.502558,traffic_signals,4,
287354802,43.4521317,-80.5076989,traffic_signals,4,
287354804,43.4542329,-80.5103416,traffic_signals,4,
287356559,43.4522074,-80.5161027,crossing,4,
287356560,43.4495076,-80.523773,traffic_signals,4,
287356562,43.4426529,-80.5423986,traffic_signals,4,
287356568,43.4538212,-80.5010235,traffic_signals,4,
287360585,43.4613945,-80.5404917,,3,
287360587,43.4619988,-80.539711,,3,
287360604,43.4612964,-80.5406458,,4,
287360610,43.4611999,-80.5405043,,3,
287360627,43.4626339,-80.5414838,,1,
288574203,43.4655301,-80.5719683,,4,
288574234,43.4668738,-80.5733319,,3,
288574260,43.4675082,-80.5758017,,3,
290580059,43.4769824,-80.5399389,traffic_signals,4,
290580949,43.4714188,-80.5375095,,3,
292190560,43.4461454,-80.4929285,traffic_signals,4,
292190605,43.4579325,-80.539543,traffic_signals,4,
292190614,43.4621015,-80.5420746,,3,
292443624,43.4264038,-80.5447029,stop,4,
292443705,43.4573326,-80.5405564,,3,
292443708,43.4581647,-80.5546255,,3,
292443711,43.4581232,-80.5576881,traffic_signals,4,
292443713,43.4841187,-80.6091779,,3,
292782300,43.4225626,-80.5443454,,3,
292782302,43.4223629,-80.5456349,,3,
292782303,43.4218364,-80.5460193,,3,
292782306,43.4235669,-80.543092,,3,
292782316,43.422599,-80.5448684,,3,
293009131,43.4918829,-80.5373059,traffic_signals,4,
293015446,43.4844199,-80.5396458,traffic_signals,3,
293015462,43.4807857,-80.5422506,,3,
293015469,43.474808,-80.543829,,4,
293015502,43.469253,-80.5395219,,3,
293019060,43.4936378,-80.4899123,,4,
293019096,43.5179063,-80.5173411,traffic_signals,4,
293196399,43.4204665,-80.560612,,4,
293196434,43.4278445,-80.5303217,,3,
293196445,43.4261356,-80.5360535,,3,
293196448,43.4254353,-80.5382994,,3,
293196521,43.4262633,-80.5357814,,3,
293196540,43.4248411,-80.5428191,,3,
293196546,43.4245416,-80.5437841,,3,
293258972,43.4850989,-80.5366648,,3,
293259029,43.4870066,-80.5399438,,3,
293259043,43.4871146,-80.5395956,,4,
293259058,43.4872538,-80.5391187,,3,
293259091,43.4877801,-80.5383484,,3,
293259104,43.4878502,-80.5382275,,3,
293259171,43.4892774,-80.5356314,,3,
293259218,43.489271,-80.5340017,,3,
293302176,43.4878657,-80.5348272,,3,
293302178,43.4883357,-80.5336867,,3,
293302195,43.4880911,-80.534255,,3,
293302197,43.4873217,-80.5336314,,3,
293302198,43.4876214,-80.5328872,,3,
293302199,43.4872789,-80.5326345,,3,
293302207,43.4810606,-80.5339204,,3,
293302209,43.4814347,-80.5328938,,4,
293302212,43.4828249,-80.5340778,,3,
293302219,43.4812426,-80.5356774,,3,
293302280,43.4609013,-80.5222069,traffic_signals,4,
293302282,43.4518917,-80.4986891,traffic_signals,4,
293302284,43.4500891,-80.4930777,traffic_signals,4,
293303803,43.5176412,-80.5023948,,4,
293458851,43.4298117,-80.5317125,,4,
293458858,43.432671,-80.5387249,,3,
293458860,43.4335189,-80.5391357,traffic_signals,5,
293458913,43.4345135,-80.5495482,,3,
293458965,43.4320134,-80.5450798,,3,
293458971,43.4362187,-80.5449249,,3,
293459005,43.4368805,-80.5471918,,3,
293459033,43.4373068,-80.548389,,3,
293459035,43.4377208,-80.5487557,,3,
293459037,43.4357981,-80.5439464,,4,
293459040,43.4386903,-80.5479687,,3,
293459053,43.437241,-80.5533533,,3,
293459054,43.441263,-80.5494683,stop,3,
293459056,43.4417405,-80.5487707,,3,
293459059,43.4426373,-80.5487241,,3,
293459066,43.4473315,-80.5503025,,3,
293459068,43.449203,-80.552905,,3,
293459077,43.448639,-80.5581838,,3,
293459082,43.4467896,-80.5608206,stop,3,
293459086,43.445704,-80.5598606,,3,
293459105,43.4416035,-80.5527153,,3,
293719668,43.4973034,-80.5672543,stop,3,
